experiment,results,composition
"[0, 0, 0, 0, 0]",80.0,homogeneous
"[0, 0, 0, 0, 0]",16.0,homogeneous
"[0, 0, 0, 0, 0]",14.0,homogeneous
"[0, 0, 0, 0, 0]",29.0,homogeneous
"[0, 0, 0, 0, 0]",6.0,homogeneous
"[0, 0, 0, 0, 0]",34.0,homogeneous
"[0, 0, 0, 0, 0]",63.0,homogeneous
"[0, 0, 0, 0, 0]",24.0,homogeneous
"[0, 0, 0, 0, 0]",29.0,homogeneous
"[0, 0, 0, 0, 0]",31.0,homogeneous
"[0, 0, 0, 0, 0]",78.0,homogeneous
"[0, 0, 0, 0, 0]",114.0,homogeneous
"[0, 0, 0, 0, 0]",94.0,homogeneous
"[0, 0, 0, 0, 0]",40.0,homogeneous
"[0, 0, 0, 0, 0]",9.0,homogeneous
"[0, 0, 0, 0, 0]",10.0,homogeneous
"[0, 0, 0, 0, 0]",98.0,homogeneous
"[0, 0, 0, 0, 0]",19.0,homogeneous
"[0, 0, 0, 0, 0]",122.0,homogeneous
"[0, 0, 0, 0, 0]",24.0,homogeneous
"[0, 0, 0, 0, 0]",69.0,homogeneous
"[0, 0, 0, 0, 0]",245.0,homogeneous
"[0, 0, 0, 0, 0]",82.0,homogeneous
"[0, 0, 0, 0, 0]",85.0,homogeneous
"[0, 0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 0, 0]",52.0,homogeneous
"[0, 0, 0, 0, 0]",57.0,homogeneous
"[0, 0, 0, 0, 0]",6.0,homogeneous
"[0, 0, 0, 0, 0]",13.0,homogeneous
"[0, 0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 0, 0]",77.0,homogeneous
"[0, 0, 0, 0, 0]",104.0,homogeneous
"[0, 0, 0, 0, 0]",23.0,homogeneous
"[0, 0, 0, 0, 0]",26.0,homogeneous
"[0, 0, 0, 0, 0]",124.0,homogeneous
"[0, 0, 0, 0, 0]",7.0,homogeneous
"[0, 0, 0, 0, 0]",115.0,homogeneous
"[0, 0, 0, 0, 0]",38.0,homogeneous
"[0, 0, 0, 0, 0]",10.0,homogeneous
"[0, 0, 0, 0, 0]",82.0,homogeneous
"[0, 0, 0, 0, 0]",31.0,homogeneous
"[0, 0, 0, 0, 0]",86.0,homogeneous
"[0, 0, 0, 0, 0]",93.0,homogeneous
"[0, 0, 0, 0, 0]",9.0,homogeneous
"[0, 0, 0, 0, 0]",104.0,homogeneous
"[0, 0, 0, 0, 0]",35.0,homogeneous
"[0, 0, 0, 0, 0]",19.0,homogeneous
"[0, 0, 0, 0, 0]",72.0,homogeneous
"[0, 0, 0, 0, 0]",17.0,homogeneous
"[0, 0, 0, 0, 0]",9.0,homogeneous
"[0, 0, 0, 0, 0]",28.0,homogeneous
"[0, 0, 0, 0, 0]",17.0,homogeneous
"[0, 0, 0, 0, 0]",79.0,homogeneous
"[0, 0, 0, 0, 0]",211.0,homogeneous
"[0, 0, 0, 0, 0]",129.0,homogeneous
"[0, 0, 0, 0, 0]",37.0,homogeneous
"[0, 0, 0, 0, 0]",18.0,homogeneous
"[0, 0, 0, 0, 0]",72.0,homogeneous
"[0, 0, 0, 0, 0]",30.0,homogeneous
"[0, 0, 0, 0, 0]",115.0,homogeneous
"[0, 0, 0, 0, 0]",26.0,homogeneous
"[0, 0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 0, 1]",88.0,heterogeneous
"[0, 0, 0, 0, 1]",27.0,heterogeneous
"[0, 0, 0, 0, 1]",85.0,heterogeneous
"[0, 0, 0, 0, 1]",64.0,heterogeneous
"[0, 0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 0, 1]",11.0,heterogeneous
"[0, 0, 0, 0, 1]",34.0,heterogeneous
"[0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 1]",41.0,heterogeneous
"[0, 0, 0, 0, 1]",34.0,heterogeneous
"[0, 0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 0, 1]",37.0,heterogeneous
"[0, 0, 0, 0, 1]",55.0,heterogeneous
"[0, 0, 0, 0, 1]",91.0,heterogeneous
"[0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 1]",51.0,heterogeneous
"[0, 0, 0, 0, 1]",99.0,heterogeneous
"[0, 0, 0, 0, 1]",62.0,heterogeneous
"[0, 0, 0, 0, 1]",45.0,heterogeneous
"[0, 0, 0, 0, 1]",19.0,heterogeneous
"[0, 0, 0, 0, 1]",73.0,heterogeneous
"[0, 0, 0, 0, 1]",42.0,heterogeneous
"[0, 0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 0, 1]",5.0,heterogeneous
"[0, 0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 0, 1]",86.0,heterogeneous
"[0, 0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 0, 1]",25.0,heterogeneous
"[0, 0, 0, 0, 1]",21.0,heterogeneous
"[0, 0, 0, 0, 1]",67.0,heterogeneous
"[0, 0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 0, 1]",41.0,heterogeneous
"[0, 0, 0, 0, 1]",24.0,heterogeneous
"[0, 0, 0, 0, 1]",14.0,heterogeneous
"[0, 0, 0, 0, 1]",21.0,heterogeneous
"[0, 0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 0, 1]",34.0,heterogeneous
"[0, 0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 0, 1]",26.0,heterogeneous
"[0, 0, 0, 0, 1]",81.0,heterogeneous
"[0, 0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 0, 1]",27.0,heterogeneous
"[0, 0, 0, 0, 1]",31.0,heterogeneous
"[0, 0, 0, 0, 1]",31.0,heterogeneous
"[0, 0, 0, 0, 1]",5.0,heterogeneous
"[0, 0, 0, 0, 1]",49.0,heterogeneous
"[0, 0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 0, 1]",11.0,heterogeneous
"[0, 0, 0, 0, 1]",18.0,heterogeneous
"[0, 0, 0, 0, 1]",30.0,heterogeneous
"[0, 0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 1]",19.0,heterogeneous
"[0, 0, 0, 0, 1]",70.0,heterogeneous
"[0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 0, 1]",14.0,heterogeneous
"[0, 0, 0, 0, 1]",130.0,heterogeneous
"[0, 0, 0, 0, 1]",27.0,heterogeneous
"[0, 0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 0, 1]",33.0,heterogeneous
"[0, 0, 0, 0, 1]",16.0,heterogeneous
"[0, 0, 0, 0, 1]",29.0,heterogeneous
"[0, 0, 0, 0, 1]",58.0,heterogeneous
"[0, 0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 0, 1]",49.0,heterogeneous
"[0, 0, 0, 0, 1]",57.0,heterogeneous
"[0, 0, 0, 0, 1]",32.0,heterogeneous
"[0, 0, 0, 0, 1]",40.0,heterogeneous
"[0, 0, 0, 0, 1]",28.0,heterogeneous
"[0, 0, 0, 0, 1]",59.0,heterogeneous
"[0, 0, 0, 0, 1]",29.0,heterogeneous
"[0, 0, 0, 0, 1]",11.0,heterogeneous
"[0, 0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 0, 1]",16.0,heterogeneous
"[0, 0, 0, 0, 1]",11.0,heterogeneous
"[0, 0, 0, 0, 1]",62.0,heterogeneous
"[0, 0, 0, 0, 1]",35.0,heterogeneous
"[0, 0, 0, 0, 1]",35.0,heterogeneous
"[0, 0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 0, 1]",28.0,heterogeneous
"[0, 0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 0, 1]",14.0,heterogeneous
"[0, 0, 0, 0, 1]",20.0,heterogeneous
"[0, 0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 0, 1]",82.0,heterogeneous
"[0, 0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 0, 1]",97.0,heterogeneous
"[0, 0, 0, 0, 1]",35.0,heterogeneous
"[0, 0, 0, 0, 1]",110.0,heterogeneous
"[0, 0, 0, 0, 1]",47.0,heterogeneous
"[0, 0, 0, 0, 0, 0]",131.0,homogeneous
"[0, 0, 0, 0, 0, 0]",94.0,homogeneous
"[0, 0, 0, 0, 0, 0]",153.0,homogeneous
"[0, 0, 0, 0, 0, 0]",28.0,homogeneous
"[0, 0, 0, 0, 0, 0]",187.0,homogeneous
"[0, 0, 0, 0, 0, 0]",37.0,homogeneous
"[0, 0, 0, 0, 0, 0]",23.0,homogeneous
"[0, 0, 0, 0, 0, 0]",324.0,homogeneous
"[0, 0, 0, 0, 0, 0]",273.0,homogeneous
"[0, 0, 0, 0, 0, 0]",23.0,homogeneous
"[0, 0, 0, 0, 0, 0]",35.0,homogeneous
"[0, 0, 0, 0, 0, 0]",25.0,homogeneous
"[0, 0, 0, 0, 0, 0]",114.0,homogeneous
"[0, 0, 0, 0, 0, 0]",169.0,homogeneous
"[0, 0, 0, 0, 0, 0]",90.0,homogeneous
"[0, 0, 0, 0, 0, 0]",81.0,homogeneous
"[0, 0, 0, 0, 0, 0]",113.0,homogeneous
"[0, 0, 0, 0, 0, 0]",44.0,homogeneous
"[0, 0, 0, 0, 0, 0]",38.0,homogeneous
"[0, 0, 0, 0, 0, 0]",23.0,homogeneous
"[0, 0, 0, 0, 0, 0]",8.0,homogeneous
"[0, 0, 0, 0, 0, 0]",26.0,homogeneous
"[0, 0, 0, 0, 0, 0]",66.0,homogeneous
"[0, 0, 0, 0, 0, 0]",88.0,homogeneous
"[0, 0, 0, 0, 0, 0]",93.0,homogeneous
"[0, 0, 0, 0, 0, 0]",219.0,homogeneous
"[0, 0, 0, 0, 0, 0]",176.0,homogeneous
"[0, 0, 0, 0, 0, 0]",102.0,homogeneous
"[0, 0, 0, 0, 0, 0]",84.0,homogeneous
"[0, 0, 0, 0, 0, 0]",37.0,homogeneous
"[0, 0, 0, 0, 0, 0]",99.0,homogeneous
"[0, 0, 0, 0, 0, 0]",19.0,homogeneous
"[0, 0, 0, 0, 0, 0]",176.0,homogeneous
"[0, 0, 0, 0, 0, 0]",189.0,homogeneous
"[0, 0, 0, 0, 0, 0]",65.0,homogeneous
"[0, 0, 0, 0, 0, 0]",76.0,homogeneous
"[0, 0, 0, 0, 0, 0]",247.0,homogeneous
"[0, 0, 0, 0, 0, 0]",21.0,homogeneous
"[0, 0, 0, 0, 0, 0]",148.0,homogeneous
"[0, 0, 0, 0, 0, 0]",125.0,homogeneous
"[0, 0, 0, 0, 0, 0]",50.0,homogeneous
"[0, 0, 0, 0, 0, 0]",305.0,homogeneous
"[0, 0, 0, 0, 0, 0]",23.0,homogeneous
"[0, 0, 0, 0, 0, 0]",143.0,homogeneous
"[0, 0, 0, 0, 0, 0]",203.0,homogeneous
"[0, 0, 0, 0, 0, 0]",189.0,homogeneous
"[0, 0, 0, 0, 0, 0]",439.0,homogeneous
"[0, 0, 0, 0, 0, 0]",171.0,homogeneous
"[0, 0, 0, 0, 0, 0]",6.0,homogeneous
"[0, 0, 0, 0, 0, 0]",52.0,homogeneous
"[0, 0, 0, 0, 0, 0]",35.0,homogeneous
"[0, 0, 0, 0, 0, 0]",41.0,homogeneous
"[0, 0, 0, 0, 0, 0]",173.0,homogeneous
"[0, 0, 0, 0, 0, 0]",487.0,homogeneous
"[0, 0, 0, 0, 0, 0]",20.0,homogeneous
"[0, 0, 0, 0, 0, 0]",221.0,homogeneous
"[0, 0, 0, 0, 0, 0]",11.0,homogeneous
"[0, 0, 0, 0, 0, 0]",40.0,homogeneous
"[0, 0, 0, 0, 0, 0]",48.0,homogeneous
"[0, 0, 0, 0, 0, 0]",123.0,homogeneous
"[0, 0, 0, 0, 0, 0]",512.0,homogeneous
"[0, 0, 0, 0, 0, 0]",155.0,homogeneous
"[0, 0, 0, 0, 0, 0]",57.0,homogeneous
"[0, 0, 0, 0, 0, 0]",21.0,homogeneous
"[0, 0, 0, 0, 0, 0]",71.0,homogeneous
"[0, 0, 0, 0, 0, 0]",264.0,homogeneous
"[0, 0, 0, 0, 0, 0]",654.0,homogeneous
"[0, 0, 0, 0, 0, 0]",48.0,homogeneous
"[0, 0, 0, 0, 0, 0]",70.0,homogeneous
"[0, 0, 0, 0, 0, 0]",60.0,homogeneous
"[0, 0, 0, 0, 0, 0]",92.0,homogeneous
"[0, 0, 0, 0, 0, 0]",91.0,homogeneous
"[0, 0, 0, 0, 0, 0]",68.0,homogeneous
"[0, 0, 0, 0, 0, 0]",10.0,homogeneous
"[0, 0, 0, 0, 0, 0]",150.0,homogeneous
"[0, 0, 0, 0, 0, 0]",57.0,homogeneous
"[0, 0, 0, 0, 0, 0]",6.0,homogeneous
"[0, 0, 0, 0, 0, 0]",50.0,homogeneous
"[0, 0, 0, 0, 0, 0]",27.0,homogeneous
"[0, 0, 0, 0, 0, 0]",121.0,homogeneous
"[0, 0, 0, 0, 0, 0]",88.0,homogeneous
"[0, 0, 0, 0, 0, 0]",9.0,homogeneous
"[0, 0, 0, 0, 0, 0]",52.0,homogeneous
"[0, 0, 0, 0, 0, 0]",88.0,homogeneous
"[0, 0, 0, 0, 0, 0]",98.0,homogeneous
"[0, 0, 0, 0, 0, 0]",173.0,homogeneous
"[0, 0, 0, 0, 0, 0]",115.0,homogeneous
"[0, 0, 0, 0, 0, 0]",69.0,homogeneous
"[0, 0, 0, 0, 0, 0]",6.0,homogeneous
"[0, 0, 0, 0, 0, 0]",50.0,homogeneous
"[0, 0, 0, 0, 0, 0]",95.0,homogeneous
"[0, 0, 0, 0, 0, 0]",31.0,homogeneous
"[0, 0, 0, 0, 0, 0]",233.0,homogeneous
"[0, 0, 0, 0, 0, 0]",35.0,homogeneous
"[0, 0, 0, 0, 0, 0]",128.0,homogeneous
"[0, 0, 0, 0, 0, 0]",20.0,homogeneous
"[0, 0, 0, 0, 0, 0]",99.0,homogeneous
"[0, 0, 0, 0, 0, 0]",235.0,homogeneous
"[0, 0, 0, 0, 0, 0]",12.0,homogeneous
"[0, 0, 0, 0, 0, 0]",161.0,homogeneous
"[0, 0, 0, 0, 0, 1]",89.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",174.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",142.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",37.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",54.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",109.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",82.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",68.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",189.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",66.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",23.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",54.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",21.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",65.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",139.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",48.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",143.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",88.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",37.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",116.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",95.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",19.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",28.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",32.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",273.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",32.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",36.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",103.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",81.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",43.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",81.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",120.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",72.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",184.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",201.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",38.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",97.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",75.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",56.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",96.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",42.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",36.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",101.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",36.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",34.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",47.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",265.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",306.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",89.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",101.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",188.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",30.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",67.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",347.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",21.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",345.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",124.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",90.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",74.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",73.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",50.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",23.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",72.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",54.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",18.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",85.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",26.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",35.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",42.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",61.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",81.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",60.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",43.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",36.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",140.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",39.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",107.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",56.0,heterogeneous
"[0, 0, 0, 0, 0, 1]",82.0,heterogeneous
