experiment,results,composition
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",13.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",8.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",7.0,heterogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",17.0,homogeneous
"[0, 0, 0]",10.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",10.0,homogeneous
"[0, 0, 0]",22.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",4.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",13.0,homogeneous
"[0, 0, 0]",26.0,homogeneous
"[0, 0, 0]",22.0,homogeneous
"[0, 0, 0]",7.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",18.0,homogeneous
"[0, 0, 0]",21.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",20.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",14.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",11.0,homogeneous
"[0, 0, 0]",20.0,homogeneous
"[0, 0, 0]",17.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",18.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",29.0,homogeneous
"[0, 0, 0]",10.0,homogeneous
"[0, 0, 0]",18.0,homogeneous
"[0, 0, 0]",4.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",25.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",15.0,homogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",7.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",15.0,homogeneous
"[0, 0, 0]",11.0,homogeneous
"[0, 0, 0]",16.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",42.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",10.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",14.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",28.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",14.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",15.0,homogeneous
"[0, 0, 0]",15.0,homogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",21.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",26.0,homogeneous
"[0, 0, 0]",29.0,homogeneous
"[0, 0, 0]",35.0,homogeneous
"[0, 0, 0]",11.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",25.0,homogeneous
"[0, 0, 0]",26.0,homogeneous
"[0, 0, 0]",4.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",13.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",25.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",14.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",24.0,homogeneous
"[0, 0, 0]",7.0,homogeneous
"[0, 0, 0]",31.0,homogeneous
"[0, 0, 0]",22.0,homogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",10.0,heterogeneous
"[0, 0, 1]",13.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",14.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",9.0,heterogeneous
"[0, 0, 1]",12.0,heterogeneous
"[0, 0, 1]",14.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",17.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",12.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",18.0,heterogeneous
"[0, 0, 1]",11.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",12.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",17.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",13.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",9.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",24.0,heterogeneous
"[0, 0, 1]",9.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",15.0,heterogeneous
"[0, 0, 1]",16.0,heterogeneous
"[0, 0, 1]",16.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",15.0,heterogeneous
"[0, 0, 1]",16.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",10.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",11.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",10.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",9.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",14.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",12.0,heterogeneous
"[0, 0, 1]",7.0,heterogeneous
"[0, 0, 1]",11.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",12.0,heterogeneous
"[0, 0, 1]",9.0,heterogeneous
"[0, 0, 1]",5.0,heterogeneous
"[0, 0, 1]",12.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 1]",13.0,heterogeneous
"[0, 0, 1]",8.0,heterogeneous
"[0, 0, 1]",6.0,heterogeneous
"[0, 0, 1]",9.0,heterogeneous
"[0, 0, 1]",3.0,heterogeneous
"[0, 0, 1]",10.0,heterogeneous
"[0, 0, 1]",4.0,heterogeneous
"[0, 0, 0, 0]",7.0,homogeneous
"[0, 0, 0, 0]",11.0,homogeneous
"[0, 0, 0, 0]",34.0,homogeneous
"[0, 0, 0, 0]",24.0,homogeneous
"[0, 0, 0, 0]",4.0,homogeneous
"[0, 0, 0, 0]",26.0,homogeneous
"[0, 0, 0, 0]",42.0,homogeneous
"[0, 0, 0, 0]",18.0,homogeneous
"[0, 0, 0, 0]",12.0,homogeneous
"[0, 0, 0, 0]",21.0,homogeneous
"[0, 0, 0, 0]",37.0,homogeneous
"[0, 0, 0, 0]",12.0,homogeneous
"[0, 0, 0, 0]",4.0,homogeneous
"[0, 0, 0, 0]",59.0,homogeneous
"[0, 0, 0, 0]",33.0,homogeneous
"[0, 0, 0, 0]",28.0,homogeneous
"[0, 0, 0, 0]",107.0,homogeneous
"[0, 0, 0, 0]",30.0,homogeneous
"[0, 0, 0, 0]",61.0,homogeneous
"[0, 0, 0, 0]",7.0,homogeneous
"[0, 0, 0, 0]",17.0,homogeneous
"[0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 0]",14.0,homogeneous
"[0, 0, 0, 0]",40.0,homogeneous
"[0, 0, 0, 0]",10.0,homogeneous
"[0, 0, 0, 0]",23.0,homogeneous
"[0, 0, 0, 0]",38.0,homogeneous
"[0, 0, 0, 0]",15.0,homogeneous
"[0, 0, 0, 0]",41.0,homogeneous
"[0, 0, 0, 0]",15.0,homogeneous
"[0, 0, 0, 0]",24.0,homogeneous
"[0, 0, 0, 0]",258.0,homogeneous
"[0, 0, 0, 0]",33.0,homogeneous
"[0, 0, 0, 0]",31.0,homogeneous
"[0, 0, 0, 0]",60.0,homogeneous
"[0, 0, 0, 0]",19.0,homogeneous
"[0, 0, 0, 0]",52.0,homogeneous
"[0, 0, 0, 0]",29.0,homogeneous
"[0, 0, 0, 0]",4.0,homogeneous
"[0, 0, 0, 0]",33.0,homogeneous
"[0, 0, 0, 0]",19.0,homogeneous
"[0, 0, 0, 0]",21.0,homogeneous
"[0, 0, 0, 0]",12.0,homogeneous
"[0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 0]",4.0,homogeneous
"[0, 0, 0, 0]",18.0,homogeneous
"[0, 0, 0, 0]",38.0,homogeneous
"[0, 0, 0, 0]",20.0,homogeneous
"[0, 0, 0, 0]",16.0,homogeneous
"[0, 0, 0, 0]",21.0,homogeneous
"[0, 0, 0, 0]",20.0,homogeneous
"[0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 0]",111.0,homogeneous
"[0, 0, 0, 0]",6.0,homogeneous
"[0, 0, 0, 0]",16.0,homogeneous
"[0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 0]",96.0,homogeneous
"[0, 0, 0, 0]",15.0,homogeneous
"[0, 0, 0, 0]",8.0,homogeneous
"[0, 0, 0, 0]",6.0,homogeneous
"[0, 0, 0, 0]",21.0,homogeneous
"[0, 0, 0, 0]",31.0,homogeneous
"[0, 0, 0, 0]",9.0,homogeneous
"[0, 0, 0, 0]",146.0,homogeneous
"[0, 0, 0, 0]",22.0,homogeneous
"[0, 0, 0, 0]",58.0,homogeneous
"[0, 0, 0, 0]",52.0,homogeneous
"[0, 0, 0, 0]",62.0,homogeneous
"[0, 0, 0, 0]",54.0,homogeneous
"[0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 0]",21.0,homogeneous
"[0, 0, 0, 0]",34.0,homogeneous
"[0, 0, 0, 0]",58.0,homogeneous
"[0, 0, 0, 0]",50.0,homogeneous
"[0, 0, 0, 0]",15.0,homogeneous
"[0, 0, 0, 0]",4.0,homogeneous
"[0, 0, 0, 0]",58.0,homogeneous
"[0, 0, 0, 0]",7.0,homogeneous
"[0, 0, 0, 0]",11.0,homogeneous
"[0, 0, 0, 0]",11.0,homogeneous
"[0, 0, 0, 0]",20.0,homogeneous
"[0, 0, 0, 0]",9.0,homogeneous
"[0, 0, 0, 0]",12.0,homogeneous
"[0, 0, 0, 0]",4.0,homogeneous
"[0, 0, 0, 0]",19.0,homogeneous
"[0, 0, 0, 0]",23.0,homogeneous
"[0, 0, 0, 0]",9.0,homogeneous
"[0, 0, 0, 0]",11.0,homogeneous
"[0, 0, 0, 0]",111.0,homogeneous
"[0, 0, 0, 0]",35.0,homogeneous
"[0, 0, 0, 0]",60.0,homogeneous
"[0, 0, 0, 0]",15.0,homogeneous
"[0, 0, 0, 0]",14.0,homogeneous
"[0, 0, 0, 0]",37.0,homogeneous
"[0, 0, 0, 0]",10.0,homogeneous
"[0, 0, 0, 0]",33.0,homogeneous
"[0, 0, 0, 0]",47.0,homogeneous
"[0, 0, 0, 0]",13.0,homogeneous
"[0, 0, 0, 0]",5.0,homogeneous
"[0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 1]",37.0,heterogeneous
"[0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",56.0,heterogeneous
"[0, 0, 0, 1]",18.0,heterogeneous
"[0, 0, 0, 1]",5.0,heterogeneous
"[0, 0, 0, 1]",16.0,heterogeneous
"[0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 1]",4.0,heterogeneous
"[0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 1]",5.0,heterogeneous
"[0, 0, 0, 1]",26.0,heterogeneous
"[0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 1]",5.0,heterogeneous
"[0, 0, 0, 1]",4.0,heterogeneous
"[0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 1]",5.0,heterogeneous
"[0, 0, 0, 1]",16.0,heterogeneous
"[0, 0, 0, 1]",4.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 1]",26.0,heterogeneous
"[0, 0, 0, 1]",62.0,heterogeneous
"[0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 1]",16.0,heterogeneous
"[0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 1]",4.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 1]",21.0,heterogeneous
"[0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 1]",4.0,heterogeneous
"[0, 0, 0, 1]",4.0,heterogeneous
"[0, 0, 0, 1]",68.0,heterogeneous
"[0, 0, 0, 1]",22.0,heterogeneous
"[0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 1]",41.0,heterogeneous
"[0, 0, 0, 1]",25.0,heterogeneous
"[0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 1]",25.0,heterogeneous
"[0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 1]",45.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",29.0,heterogeneous
"[0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 1]",11.0,heterogeneous
